kernel,condition,preference_position,trajectory_category,reasoning_category,resource_tradeoff,first_step_result,peak_result,lesson
bitonic-sort,A,P1,immediate plateau,under-valued structural headroom,"Shared-memory stage fusion improves load efficiency but introduces bank conflicts and higher register pressure.",1.382x,1.382x,"A strong first edit can plateau when it consumes resources or only fixes the easiest local symptom."
bitonic-sort,A,P3,slow-start winner,productive recovery,"Initial host-side cleanup does little; later shared-memory staging and divergence-free thread mapping unlock the real bottleneck.",0.997x,2.366x,"A weak first step can still lead to the best trajectory if the branch discovers structural headroom."
histogram,A,P1,salient metric dead end,salient metric fixation,"Loop reorder targeted 57% global load efficiency, but the metric did not move and speedup stayed below baseline.",0.968x,0.971x,"A prominent profiler metric is not necessarily causal."
histogram,B,P2,recoverable bad first implementation,productive recovery,"Single-pass histogram removes second pass and allocation traffic, but first grid has too few blocks; grid tuning balances parallelism and atomic contention.",0.599x,2.286x,"Do not treat a bad first implementation as proof that the direction is bad."
softmax,A,P1,recovering wrong mechanism,correct bottleneck wrong mechanism,"Shared memory reduces global reads and expf calls, but occupancy collapses and bank conflicts appear.",1.360x,1.653x,"Reducing traffic can lose when the real lever is latency hiding and occupancy."
softmax,A,P5,tight-cluster winner,correct bottleneck correct mechanism,"Block-per-slice increases per-slice parallelism, improving occupancy and reducing memory stalls without reducing read passes.",1.676x,1.677x,"For memory-latency-bound kernels, increasing outstanding work can beat reducing bytes."
softmax,B,P1,elegant loser,algorithmic elegance bias,"Online softmax reduces a global read pass, but increases register pressure and never beats simple launch tuning.",1.437x,1.438x,"A clean algorithmic story can have less causal leverage than a simple hardware knob."
softmax,B,P5,simple tuning winner,correct mechanism under-preferred,"Changing BLOCK_SIZE to 512 improves scheduler utilization; later tweaks are mostly noise.",1.482x,1.553x,"Simple launch configuration can be the highest-leverage optimization."
stencil3d,B,P1,dependency chain,correct direction correct mechanism,"Double-to-float reduces traffic and occupancy pressure; warp-aligned blocks improve coalescing; XTILE tuning improves bandwidth and scheduling.",2.927x,4.985x,"Long-horizon prompting works when the first move enables later moves."
stencil3d,B,P4,local metric tradeoff,resource-tradeoff miss,"Padding reduces shared-memory bank conflicts but increases shared-memory footprint, lowering occupancy and exposing memory stalls.",1.463x,1.476x,"Fixing one metric can be neutralized by another resource cost."
